CASE,DATE,YEAR,DECADE,EFFECT,STAT NAME,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT
United States v. Holte,2/1/15,1915,1910,upheld,White Slave Traffic Act,61-277,6/25/10,55,61,Federalism,1.0,1.0,1,1,1.0,0.0,1,2,0
Brolan v. United States,2/23/15,1915,1910,upheld,Narcotic Drugs Import and Export Act,60-222,2/9/09,73,60,Federalism,1.0,1.0,1,1,0.0,0.0,1,0,0
Meeker v. Lehigh Valley Railroad Company,2/23/15,1915,1910,upheld,Hepburn Act (Interstate Commerce),59-337,6/29/06,104,59,Due Process,1.0,1.0,0,0,1.0,0.0,0,0,0
United States v. Hvoslef,3/22/15,1915,1910,struck down on face,War Revenue Act,,6/13/1898,202,55,Economic,1.0,0.0,1,1,0.0,1.0,1,0,0
Thames & Mersey Marine Insurance Company v. United States,4/5/15,1915,1910,struck down as applied,War Revenue Act,,6/13/1898,202,55,Economic,1.0,0.0,1,1,1.0,1.0,1,0,0
Mackenzie v. Hare,12/6/15,1915,1910,upheld,Citizenship Acts,59-193,3/2/07,105,59,Substantive Rights,1.0,1.0,0,0,0.0,0.0,0,1,0
Weber v. Freed,12/13/15,1915,1910,upheld,Prize-Fight Films Act,62-246,7/31/12,40,62,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,1
Williams v. Johnson,12/20/15,1915,1910,upheld,Lieu Lands Act (Indian Reservations),58-125,4/21/04,140,58,Economic,0.0,0.0,0,0,0.0,0.0,0,0,0
Seven Cases of Eckman's Alterative v. United States,1/10/16,1916,1910,upheld,Federal Food and Drugs Act of 1906 (Wiley Act),59-384,6/30/06,114,59,Federalism,1.0,1.0,1,0,0.0,0.0,1,0,0
Brushaber v. Union Pacific Railroad Company,1/24/16,1916,1910,upheld,Underwood Tariff Act of 1913,63-16,10/3/13,28,63,Economic,1.0,1.0,1,0,0.0,0.0,0,0,1
Stanton v. Baltic Mining Company,2/21/16,1916,1910,upheld,Underwood Tariff Act of 1913,63-16,10/3/13,29,63,Economic,1.0,0.0,1,0,0.0,0.0,0,0,1
Badders v. United States,3/6/16,1916,1910,upheld,Judicial Code,61-475,3/3/11,60,61,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
Willink v. United States,4/3/16,1916,1910,upheld,Rivers and Harbors Appropriations Act of 1888,,8/11/1888,332,50,Economic,0.0,0.0,1,0,0.0,0.0,1,0,1
Texas & Pacific Railway Company v. Rigsby,4/17/16,1916,1910,upheld,Safety Appliance Acts (Railroads),,3/2/1893,278,52,Federalism,1.0,1.0,0,0,0.0,0.0,0,0,1
United States v. Nice,6/12/16,1916,1910,upheld,Intoxicating Drinks to Indians Act,,1/30/1897,232,54,Federalism,0.0,0.0,1,0,1.0,0.0,1,0,0
Louisville Bridge Co. v. United States,1/8/17,1917,1910,upheld,"Bridge Across the Ohio at Steubenville, Bridge Made a Post Road",,2/17/1865,622,38,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
Wilson v. New,3/19/17,1917,1910,upheld,Eight-Hour Workday Law (Adamson Act),54-252,9/3/16,7,64,Federalism,1.0,1.0,1,0,1.0,0.0,1,4,1
First National Bank of Bay City v. Fellows,6/11/17,1917,1910,upheld,Federal Reserve Act,63-43,12/23/13,41,63,Economic,1.0,1.0,1,0,1.0,0.0,0,2,1
Santa Fe Pacific Railroad Company v. Lane,6/11/17,1917,1910,upheld,Railway Land Grant Act,,7/27/1866,610,39,Economic,0.0,0.0,1,0,1.0,0.0,1,0,0
Arver v. United States (Selective Draft Law Cases),1/7/18,1918,1910,upheld,Army Emergency Increase Act (Selective Draft Act),65-50,5/18/17,7,65,Substantive Rights,1.0,1.0,1,0,0.0,0.0,1,0,1
Ruthenberg v. United States,1/14/18,1918,1910,upheld,Army Emergency Increase Act (Selective Draft Act),65-12,5/18/17,7,65,Due Process,1.0,0.0,1,0,0.0,0.0,1,0,1
Virginia v. West Virginia,4/22/18,1918,1910,upheld,Judiciary Act of 1789,1-20,9/24/1789,1553,1,Federalism,1.0,0.0,0,0,0.0,0.0,0,0,1
Brader v. James,3/4/18,1918,1910,upheld,Five Civilized Tribes Act (Curtis Act),59-129,4/26/06,142,59,Economic,0.0,0.0,1,0,0.0,0.0,0,0,0
William E. Peck & Company v. Lowe,5/20/18,1918,1910,upheld,Underwood Tariff Act of 1913,63-16,10/3/13,56,63,Economic,1.0,0.0,1,0,0.0,0.0,1,0,1
Hammer v. Dagenheart,6/3/18,1918,1910,struck down on face,Child Labor Law (Keating-Owen Act),64-249,9/1/16,21,64,Federalism,1.0,1.0,1,0,0.0,1.0,1,4,1
Cox v. Wood,5/6/18,1918,1910,upheld,Army Emergency Increase Act (Selective Draft Act),65-12,5/18/17,11,65,Federalism,1.0,0.0,1,0,0.0,0.0,1,0,1
Ruddy v. Rossi,12/9/18,1918,1910,upheld,Homestead Act,,5/20/1862,678,37,Economic,1.0,0.0,0,0,1.0,0.0,0,1,0
Missouri Pacific Railway Company v. Kansas,1/7/19,1919,1910,upheld,Webb-Kenyon Act (Intoxicating Liquors),62-398,3/1/13,70,62,Separation of Powers,1.0,1.0,0,0,0.0,0.0,0,0,1
United States v. Hill,1/13/19,1919,1910,upheld,Reed Amendment (Post-Office Appropriation Act),64-380,3/3/17,22,64,Federalism,0.0,0.0,1,0,1.0,0.0,1,2,1
Frohwerk v. United States,3/10/19,1919,1910,upheld,Espionage Act,65-107,6/15/17,20,65,Substantive Rights,1.0,1.0,1,0,0.0,0.0,1,0,1
McKinley v. United States,4/14/19,1919,1910,upheld,Army Emergency Increase Act,65-12,5/18/17,22,65,Separation of Powers,1.0,0.0,1,0,0.0,0.0,1,0,1
Schenck v. United States,3/3/19,1919,1910,upheld,Espionage Act,65-107,6/15/17,20,65,Substantive Rights,1.0,1.0,1,0,0.0,0.0,1,0,1
United States v. Doremus,3/3/19,1919,1910,upheld,Harrison Narcotic Drug Act,63-223,12/17/14,50,63,Federalism,0.0,0.0,1,0,1.0,0.0,1,4,1
"Dakota Central Telephone Company v. South Dakota, ex rel. Payne",6/2/19,1919,1910,upheld,Federal Control of Telegraphs and Telephone Act,Pub-res 38,7/16/18,10,65,Separation of Powers,0.0,0.0,1,0,1.0,0.0,0,1,1
United States v. Ferger,6/2/19,1919,1910,upheld,Bill of Lading Act,64-239,8/29/16,33,64,Federalism,0.0,0.0,1,0,1.0,0.0,1,1,1
Capital Trust Company v. Calhoun,6/2/19,1919,1910,upheld,Omnibus Claims Act,63-289,3/4/15,51,63,Economic,0.0,0.0,0,0,1.0,0.0,0,0,1
Stilson v. United States,11/10/19,1919,1910,upheld,Espionage Act,65-107,6/15/17,28,65,Due Process,1.0,0.0,1,0,0.0,0.0,1,2,1
Hamilton v. Kentucky Distilleries & Warehouse Company,12/15/19,1919,1910,upheld,War-time Prohibition Act,65-243,11/21/18,13,65,Economic,0.0,0.0,1,0,1.0,0.0,1,0,1
Ruppert v. Caffey,1/5/20,1920,1920,upheld,National Prohibition Acts (Volstead Act),66-66,10/28/19,2,66,Due Process,1.0,1.0,1,0,0.0,0.0,1,4,0
Eisner v. Macomber,3/8/20,1920,1920,struck down as applied,Revenue Act of 1916,64-271,9/8/16,42,64,Economic,1.0,0.0,1,0,0.0,1.0,1,4,1
Missouri v. Holland,4/19/20,1920,1920,upheld,Migratory Bird Treaty Act,65-186,7/3/18,22,65,Federalism,1.0,1.0,1,0,0.0,0.0,1,2,1
Knickerbocker Ice Co. v. Stewart,5/17/20,1920,1920,struck down on face,"Judicial Code, State Workmen's Compensation Laws (Johnson Act)",65-82,10/6/17,32,65,Separation of Powers,0.0,0.0,0,0,1.0,1.0,0,4,1
Calhoun v. Massie,5/17/20,1920,1920,upheld,Omnibus Claims Act (Crawford Amendment),63-289,3/4/15,63,63,Due Process,0.0,0.0,0,1,0.0,0.0,0,4,1
Evans v. Gore,6/1/20,1920,1920,struck down as applied,Revenue Act of 1918,65-254,2/24/19,15,65,Due Process,0.0,0.0,1,0,1.0,1.0,1,2,1
National Prohibition Cases,6/7/20,1920,1920,upheld,"Eighteenth Amendment (Prohibition), National Prohibition Acts (Volstead Act)",66-66,10/28/19,7,66,Federalism,1.0,1.0,1,0,1.0,0.0,1,2,0
United States v. Wheeler,12/13/20,1920,1920,struck down as applied,Penal Law Codification of 1909,60-350,3/4/09,141,60,Federalism,1.0,0.0,1,0,0.0,0.0,1,1,0
"J.W. Goldsmith, Jr.-Grant Co. v. United States",1/17/21,1921,1920,upheld,Internal Revenue Act of 1866,,7/13/1866,655,39,Economic,0.0,0.0,1,0,0.0,0.0,1,1,0
Central Union Trust Co. v. Garvan,1/24/21,1921,1920,upheld,40 Stat. 425,65-91,10/6/17,39,65,Due Process,1.0,0.0,1,0,0.0,0.0,1,0,1
Kahn v. Anderson,1/31/21,1921,1920,upheld,Army Emergency Increase Act,65-12,5/18/17,40,65,Due Process,1.0,0.0,1,0,0.0,0.0,1,0,1
"Weeds, Inc. v. United States",2/28/21,1921,1920,struck down on face,"Lever Act (Food Control), District of Columbia Rents and Food Act (Ball Act)",66-63,10/22/19,16,66,Due Process,0.0,0.0,1,0,1.0,1.0,1,0,0
Smith v. Kansas City Title & Trust Co.,2/28/21,1921,1920,upheld,Federal Farm Loan Act; Farm Loan Bonds Act,64-158,1/18/18,37,65,Economic,0.0,0.0,1,0,0.0,0.0,0,2,1
Baender v. Barnett,2/28/21,1921,1920,upheld,Criminal Code (Conspiracy Act),60-350,3/4/09,24,60,Due Process,1.0,0.0,1,0,0.0,0.0,0,0,0
Stoehr v. Wallace,2/28/21,1921,1920,upheld,Trading With the Enemy Act,65-91,10/6/17,41,65,Economic,1.0,1.0,1,0,0.0,0.0,1,0,1
Winton v. Amos,3/7/21,1921,1920,upheld,Five Civilized Tribes Act (Curtis Act),59-129,4/26/06,179,59,Due Process,0.0,0.0,1,0,1.0,0.0,0,0,0
Hollis v. Kutz,3/21/21,1921,1920,upheld,District of Columbia Public Utility Act,62-435,3/4/13,97,62,Due Process,0.0,0.0,0,0,0.0,0.0,1,0,1
Merchants' Loan & Trust Co. v. Smietanka,3/28/21,1921,1920,upheld,War Revenue Act of 1916,65-50,10/3/17,42,65,Economic,1.0,0.0,1,0,0.0,0.0,1,0,1
United States v. L. Cohen Grocery Co.,2/28/21,1921,1920,struck down on face,"Lever Act (Food Control), District of Columbia Rents and Food Act (Ball Act)",66-63,10/22/19,16,66,Due Process,0.0,0.0,1,0,0.0,1.0,1,0,0
Block v. Hirsh,4/18/21,1921,1920,upheld,District of Columbia Rents and Food Act (Ball Act),66-63,10/22/19,18,66,Due Process,0.0,0.0,1,0,1.0,0.0,0,4,0
Newberry v. United States,5/2/21,1921,1920,struck down as applied,Federal Corrupt Practices Acts,62-32,8/19/11,116,62,Federalism,0.0,0.0,1,0,1.0,1.0,1,1,1
New York Trust Co. v. Eisner,5/16/21,1921,1920,upheld,Revenue Act of 1916 (Estate Tax Acts),64-271,9/8/16,57,64,Federalism,1.0,1.0,1,0,0.0,0.0,0,0,1
Dillon v. Gloss,5/16/21,1921,1920,upheld,Eighteenth Amendment (Prohibition),,12/19/17,41,65,Separation of Powers,1.0,1.0,1,0,0.0,0.0,1,0,1
La Belle Iron Works v. United States,5/16/21,1921,1920,upheld,War Revenue Act of 1916,65-50,10/3/17,44,65,Economic,1.0,0.0,1,0,0.0,0.0,1,0,1
United States v. Yuginovich,6/1/21,1921,1920,struck down as applied,Tariff Act of 1872,,6/6/1872,588,42,Economic,1.0,0.0,1,0,0.0,0.0,1,0,0
District of Columbia v. R.P. Andrews Paper Co.,6/1/21,1921,1920,upheld,District of Columbia Appropriations Act,64-250,9/1/16,57,64,Due Process,0.0,0.0,0,1,1.0,0.0,1,0,1
"Rafferty v. Smith, Bell & Co.",12/5/21,1921,1920,upheld,Third Deficiency Appropriation Act,66-264,6/5/20,18,66,Federalism,0.0,0.0,0,1,1.0,0.0,1,0,0
New York v. United States,2/27/22,1922,1920,upheld,Transportation Act of 1920 (Esch-Cummings Act),66-152,2/28/20,24,66,Economic,1.0,1.0,1,0,0.0,0.0,1,0,0
Alaska v. Troy,2/27/22,1922,1920,upheld,Merchant Marine Act,66-261,6/5/20,21,66,Federalism,1.0,0.0,1,0,0.0,0.0,1,0,0
Leser v. Garnett,2/27/22,1922,1920,upheld,Nineteenth Amendment (Women's Suffrage),,8/26/20,18,66,Federalism,1.0,1.0,1,1,0.0,0.0,0,0,0
Leach v. Carlile,2/27/22,1922,1920,upheld,17 Stat. 283,,6/8/1872,596,42,Due Process,0.0,0.0,1,0,0.0,0.0,1,2,0
United States v. Balint,3/27/22,1922,1920,upheld,Harrison Narcotic Drug Act,63-223,12/17/14,87,63,Due Process,0.0,0.0,1,0,1.0,0.0,1,0,1
Greiner v. Lewellyn,4/10/22,1922,1920,upheld,Revenue Act of 1916 (Estate Tax Acts),64-271,9/8/16,67,64,Federalism,1.0,0.0,1,0,0.0,0.0,1,0,1
United States v. Moreland,4/17/22,1922,1920,struck down on face,"District of Columbia, Abandonment of Wife or Child",59-66,3/23/06,193,59,Due Process,0.0,0.0,1,1,0.0,1.0,1,3,0
United Shoe Machinery Corp. v. United States,4/17/22,1922,1920,upheld,Clayton Anti-Trust Act,63-212,10/15/14,91,63,Economic,1.0,1.0,1,0,0.0,0.0,1,1,1
Stafford v. Wallace,5/1/22,1922,1920,upheld,Packers and Stockyards Act,67-51,8/15/21,9,67,Economic,1.0,1.0,1,0,0.0,0.0,1,1,0
Heald v. District of Columbia,5/15/22,1922,1920,upheld,"Appropriations, District of Columbia",64-378,3/3/17,62,64,Economic,0.0,0.0,0,0,0.0,0.0,1,0,1
Child Labor Tax Case,5/15/22,1922,1920,struck down on face,Revenue Act of 1918 (Child Labor Tax Acts),65-254,2/24/19,38,65,Economic,0.0,0.0,1,0,0.0,1.0,1,1,1
Ng Fung Ho v. White,5/29/22,1922,1920,struck down as applied,Immigration Act of 1917,64-301,2/5/17,63,64,Due Process,1.0,1.0,1,1,1.0,0.0,1,0,1
United Mine Workers v. Coronado Coal Co.,6/5/22,1922,1920,struck down as applied,Sherman Anti-Trust Act,,7/2/1890,383,51,Economic,1.0,1.0,0,0,1.0,0.0,0,0,0
Hill v. Wallace,5/15/22,1922,1920,struck down on face,Future Trading Act,67-66,8/24/21,8,67,Economic,1.0,1.0,1,0,1.0,1.0,1,0,0
Lipke v. Lederer,6/5/22,1922,1920,struck down as applied,National Prohibition Acts (Volstead Act),66-66,10/28/19,31,66,Economic,1.0,0.0,1,0,1.0,0.0,1,2,0
Walker v. Gish,1/2/23,1923,1920,upheld,District of Columbia (Building Regulations),,6/14/1878,535,45,Due Process,0.0,0.0,0,0,0.0,0.0,0,0,1
New England Div. Case,2/19/23,1923,1920,upheld,Transportation Act of 1920 (Esch-Cummings Act),66-152,2/28/20,36,66,Economic,1.0,1.0,1,0,0.0,0.0,1,0,0
Keller v. Potomac Electric Power Co.,4/9/23,1923,1920,struck down on face,District of Columbia Public Utility Act,62-435,3/4/13,121,62,Separation of Powers,0.0,0.0,0,0,0.0,1.0,1,0,1
Omnia Commercial Co. v. United States,4/9/23,1923,1920,upheld,Emergency Shipping Fund Act,65-23,6/15/17,70,65,Economic,0.0,0.0,1,0,0.0,0.0,1,0,1
Adkins v. Children's Hosp.,4/9/23,1923,1920,struck down on face,District of Columbia Minimum Wage Act,65-215,9/19/18,54,65,Substantive Rights,0.0,0.0,0,0,0.0,1.0,1,3,1
Pennsylvania R. Co. v. United States R. Labor Board,2/19/23,1923,1920,upheld,Transportation Act of 1920 (Esch-Cummings Act),66-152,2/28/20,36,66,Economic,1.0,0.0,1,0,0.0,0.0,1,0,0
Board of Trade v. Olsen,4/16/23,1923,1920,upheld,Grain Futures Act (Capper-Tincher Act),67-331,9/21/22,7,67,Economic,1.0,1.0,1,0,0.0,0.0,1,2,0
A.G. Spalding & Bros. v. Edwards,4/23/23,1923,1920,struck down as applied,War Revenue Act of 1916,65-50,10/3/17,69,65,Economic,1.0,0.0,1,0,1.0,0.0,1,0,1
Brown v. United States,11/12/23,1923,1920,upheld,Sundry Civil Act,66-389,3/4/21,32,66,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
Dayton-Goose C.R. Co. v. United States,1/7/24,1924,1920,upheld,Transportation Act of 1920 (Esch-Cummings Act),66-152,2/28/20,46,66,Economic,1.0,1.0,0,0,0.0,0.0,1,0,0
Washington v. W.C. Dawson & Co.,2/25/24,1924,1920,struck down as applied,Workmen's Compensation Jurisdiction Act,67-239,6/10/22,21,67,Federalism,0.0,0.0,0,0,0.0,1.0,0,1,0
FTC v. American Tobacco Co.,3/17/24,1924,1920,struck down as applied,Federal Trade Commission Act,63-203,9/26/14,114,63,Due Process,1.0,1.0,1,0,0.0,0.0,1,0,1
Mahler v. Eby,2/18/24,1924,1920,upheld,Deportation Act,66-197,5/10/20,46,66,Due Process,0.0,0.0,1,0,1.0,0.0,1,0,0
Panama R. Co. v. Johnson,4/7/24,1924,1920,upheld,"Seamen's Act (LaFollette Act), Merchant Marine Act of 1920",63-302,6/5/20,46,66,Due Process,1.0,0.0,0,0,0.0,0.0,0,0,0
Chastleton Corp. v. Sinclair,4/21/24,1924,1920,struck down as applied,District of Columbia Rents Act,67-222,5/22/22,23,67,Economic,0.0,0.0,0,0,1.0,0.0,1,0,0
Cook v. Tait,5/5/24,1924,1920,upheld,Revenue Act of 1921,67-98,11/23/21,29,67,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
James Everard's Breweries v. Day,6/9/24,1924,1920,upheld,National Prohibition Act Supplemental (Willis-Campbell Act),66-66,11/23/21,30,67,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
National Paper & Type Co. v. Bowers,12/14/24,1924,1920,upheld,Revenue Act of 1921,67-98,11/23/21,36,67,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
Michaelson v. United States,10/20/24,1924,1920,upheld,Clayton Anti-Trust Act,63-212,10/15/14,121,63,Economic,1.0,1.0,0,1,1.0,0.0,1,0,1
Barclay & Co. v. Edwards,12/15/24,1924,1920,upheld,Revenue Act of 1918,65-254,2/24/19,69,65,Economic,0.0,0.0,1,0,0.0,0.0,1,0,1
Carroll v. United States,3/2/25,1925,1920,upheld,National Prohibition Acts (Volstead Act),66-66,10/28/19,63,66,Due Process,1.0,0.0,1,0,0.0,0.0,1,0,0
Brooks v. United States,3/9/25,1925,1920,upheld,National Motor Vehicle Theft Act (Dyer Act),66-70,10/29/19,63,66,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,0
Yee Hem v. United States,4/27/25,1925,1920,upheld,Harrison Narcotic Drug Act,63-223,1/17/14,135,63,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,1
Selzman v. United States,6/1/25,1925,1920,upheld,National Prohibition Acts (Volstead Act),66-66,10/28/19,67,66,Economic,1.0,1.0,1,0,0.0,0.0,1,0,0
Linder v. United States,4/13/25,1925,1920,struck down as applied,Harrison Narcotic Drug Act,63-223,12/17/14,123,63,Economic,0.0,0.0,1,1,1.0,0.0,1,0,1
Miles v. Graham,6/1/25,1925,1920,struck down as applied,Revenue Act of 1918,65-254,2/24/19,75,65,Separation of Powers,0.0,0.0,1,0,0.0,1.0,1,1,1
Burk-Waggoner Oil Assn. v. Hopkins,11/16/25,1925,1920,upheld,Revenue Act of 1918,65-254,2/24/19,81,65,Economic,0.0,0.0,1,0,0.0,0.0,1,0,1
United States v. New York & Cuba Mail S.S. Co.,12/14/25,1925,1920,upheld,"Alien Seamen, Hospital Treatment",66-289,12/26/20,59,66,Due Process,0.0,0.0,1,1,1.0,0.0,1,0,0
Druggan v. Anderson,10/19/25,1925,1920,upheld,National Prohibition Acts (Volstead Act),66-66,10/28/19,72,66,Economic,1.0,0.0,1,0,0.0,0.0,1,0,0
Old Dominion Land Co. v. United States,11/16/25,1925,1920,upheld,"Army, Real Estate Purchases",67-169,3/8/22,45,67,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
Trusler v. Crooks,1/11/26,1926,1920,struck down on face,Future Trading Act,67-66,8/24/21,52,67,Economic,1.0,1.0,1,0,1.0,1.0,1,0,0
Metcalf & Eddy v. Mitchell,1/11/26,1926,1920,upheld,War Revenue Act of 1917,65-50,10/3/17,106,65,Economic,1.0,0.0,1,0,0.0,0.0,0,0,1
White v. United States,3/1/26,1926,1920,upheld,War Risk Insurance Act Amendments (Sweet Act),66-104,12/24/19,74,66,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
Missouri P.R. Co. v. Boone,3/22/26,1926,1920,upheld,Transportation Act of 1920 (Esch-Cummings Act),66-152,2/28/20,73,66,Federalism,1.0,1.0,0,1,0.0,0.0,0,0,0
"United States v. Holt State Bank, et al.",2/1/26,1926,1920,struck down as applied,Nelson Act,,1/14/1889,445,51,Federalism,0.0,0.0,1,0,1.0,0.0,1,0,0
Tutun v. United States,4/12/26,1926,1920,upheld,Naturalization of Aliens Act,59-338,6/29/06,237,59,Due Process,1.0,0.0,1,0,0.0,0.0,1,0,0
Colorado v. United States,5/3/26,1926,1920,upheld,Transportation Act of 1920 (Esch-Cummings Act),66-152,2/28/20,74,66,Federalism,1.0,1.0,1,0,0.0,0.0,1,0,0
Thornton v. United States,6/1/26,1926,1920,upheld,Animal Industry Act,,5/29/1884,504,48,Federalism,1.0,1.0,1,1,0.0,0.0,1,0,1
"United States v. Chemical Foundation, Inc.",10/11/26,1926,1920,upheld,Trading With the Enemy Act,65-91,10/6/17,108,65,Economic,1.0,1.0,1,0,0.0,0.0,1,0,1
Myers v. United States,10/25/26,1926,1920,struck down on face,Postal Service Appropriations Act,,7/12/1876,604,44,Separation of Powers,0.0,0.0,1,0,0.0,1.0,1,3,1
Lambert v. Yellowley,11/29/26,1926,1920,upheld,National Prohibition Acts (Volstead Act),66-66,10/28/19,85,66,Economic,1.0,0.0,1,0,0.0,0.0,1,4,0
Albrecht v. United States,1/3/27,1927,1920,upheld,National Prohibition Acts (Volstead Act),66-66,10/28/19,86,66,Due Process,1.0,0.0,1,0,0.0,0.0,1,0,0
Florida v. Mellon,1/3/27,1927,1920,upheld,Revenue Act of 1926,69-20,2/26/26,10,69,Economic,1.0,1.0,1,0,0.0,0.0,1,0,0
Liggett & Myers Tobacco Co. v. United States,5/2/27,1927,1920,upheld,"Naval Service Appropriations Act, Urgent Deficiencies Appropriations Act",65-23,6/15/17,118,65,Economic,0.0,0.0,1,1,1.0,0.0,1,0,1
Westfall v. United States,5/16/27,1927,1920,upheld,"Federal Reserve Act, Federal Reserve Act Amendments",65-25,6/21/1917,119,65,Economic,0.0,0.0,1,0,0.0,0.0,1,0,1
United States v. Sullivan,5/16/27,1927,1920,upheld,Revenue Act of 1921,67-98,11/23/21,66,67,Economic,0.0,0.0,1,1,1.0,0.0,1,0,0
United States v. Alford,5/16/27,1927,1920,upheld,"Indians, Miscellaneous Provisions",61-313,6/25/10,191,61,Federalism,0.0,0.0,1,0,1.0,0.0,1,0,0
Alston v. United States,5/16/27,1927,1920,upheld,Harrison Narcotic Drug Act,63-223,12/17/14,149,63,Economic,0.0,0.0,1,0,0.0,0.0,1,0,1
Phelps v. United States,5/16/27,1927,1920,upheld,Federal Possession and Control Act (Railroads in War),64-242,8/29/16,129,64,Due Process,0.0,0.0,1,1,1.0,0.0,1,0,1
Nichols v. Coolidge,5/31/27,1927,1920,struck down as applied,Revenue Act of 1918,65-254,2/24/19,99,65,Due Process,0.0,0.0,1,0,0.0,1.0,1,0,1
Blodgett v. Holden,11/21/27,1927,1920,struck down as applied,Revenue Act of 1924 (Gift Tax Acts),68-176,6/2/24,42,68,Due Process,1.0,0.0,1,0,0.0,0.0,1,0,0
Richmond Screw Anchor Co. v. United States,3/3/28,1928,1920,struck down as applied,Frauds Act of 1853,,2/26/1853,901,32,Economic,0.0,0.0,1,1,1.0,0.0,1,0,1
Nigro v. United States,4/9/28,1928,1920,upheld,"Anti-Narcotic Act (Harrison Act), Revenue Act of 1918",65-254,2/24/19,109,65,Economic,0.0,0.0,1,0,0.0,0.0,1,3,1
J.W. Hampton Jr. & Co. v. United States,4/9/28,1928,1920,upheld,Tariff Act of 1922 (Fordney-McCumber Act),67-318,9/21/22,66,67,Separation of Powers,1.0,1.0,1,1,0.0,0.0,1,0,0
Casey v. United States,4/9/28,1928,1920,upheld,"Anti-Narcotic Act (Harrison Act), Revenue Act of 1918",65-254,2/24/19,109,65,Economic,0.0,0.0,1,1,0.0,0.0,1,4,1
Untermyer v. Anderson,4/9/28,1928,1920,struck down as applied,Revenue Act of 1924 (Gift Tax Acts),68-176,6/2/24,46,68,Economic,1.0,0.0,1,1,1.0,1.0,1,0,0
National Life Insurance Co. v. United States,6/4/28,1928,1920,struck down as applied,Revenue Act of 1921,67-98,11/23/21,78,67,Economic,0.0,0.0,1,1,1.0,1.0,1,3,0
Chase National Bank v. United States,1/2/29,1929,1920,upheld,Revenue Act of 1921,67-98,11/23/21,85,67,Economic,0.0,0.0,1,0,0.0,0.0,1,2,0
Wisconsin v. Illinois,1/14/29,1929,1920,upheld,Rivers and Harbors Appropriations Act of 1899,,3/3/1899,358,55,Federalism,0.0,0.0,0,0,0.0,0.0,0,0,0
Arlington Hotel Co. v. Fant,2/18/29,1929,1920,upheld,"Hot Springs Reservation, Arkansas, Jurisdiction Accepted",58-124,4/20/04,298,58,Federalism,0.0,0.0,0,0,0.0,0.0,0,0,0
Taft v. Bowers,2/18/29,1929,1920,upheld,Revenue Act of 1921,67-98,11/23/21,87,67,Economic,0.0,0.0,1,1,0.0,0.0,1,0,0
Highland v. Russell Car & Snow Plow Co.,4/8/29,1929,1920,upheld,Lever Act (Food Control),65-41,8/10/17,140,65,Economic,1.0,1.0,0,1,0.0,0.0,0,0,1
Sinclair v. United States,4/8/29,1929,1920,upheld,National Defense Act Amendments,66-242,6/4/20,106,66,Due Process,0.0,0.0,0,0,0.0,0.0,1,0,0
Ex Parte Worcester County National Bank,5/13/29,1929,1920,upheld,McFadden Act (Branch Banks),69-369,2/25/27,26,69,Federalism,0.0,0.0,0,0,0.0,0.0,0,0,0
United States v. Schwimmer,5/27/29,1929,1920,upheld,Naturalization of Aliens Act,59-338,6/29/06,275,59,Due Process,1.0,0.0,1,1,1.0,0.0,1,3,0
Pocket Veto Cases,5/27/29,1929,1920,struck down on face,Indian Claims Act (Senate Bill 3185),69-228,6/24/26,35,69,Separation of Powers,0.0,0.0,1,1,0.0,0.0,1,0,0
Old Colony Trust Co. v. Commissioner,6/3/29,1929,1920,upheld,"Revenue Act of 1924, Revenue Act of 1926",68-176,2/26/26,45,69,Economic,1.0,0.0,1,0,0.0,0.0,1,1,0
County of Spokane v. United States,4/8/29,1929,1920,upheld,Duties Act of 1799,5-18,3/2/1799,1559,5,Economic,0.0,0.0,1,1,0.0,0.0,1,0,1
Bromley v. McCaughn,11/25/29,1929,1920,upheld,"Revenue Act of 1924, Revenue Act of 1926",68-176,2/26/26,45,69,Economic,1.0,0.0,1,0,0.0,0.0,1,3,0
United States v. Jackson,1/6/30,1930,1930,upheld,34 Stat. 326,59-258,6/21/06,283,59,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
Clarke v. Haberle Crystal Springs Brewing Co.,1/27/30,1930,1930,upheld,Revenue Act of 1918,65-254,2/24/19,131,65,Economic,0.0,0.0,1,1,1.0,0.0,1,0,1
United States v. Wurzbach,2/24/30,1930,1930,upheld,Federal Corrupt Practices Acts,68-506,2/28/25,60,68,Federalism,1.0,1.0,1,0,1.0,0.0,1,0,0
