CASE,CITATION,DATE,YEAR,DECADE,DECISION,DECISION2,EFFECT,STAT NAME,STAT CITE,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,AREA2,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT
United States v. Holte,236 U.S. 140,2/1/15,1915,1910,0,0,upheld,White Slave Traffic Act,36 Stat. 825,61-277,6/25/10,55,61,5,,1,1,1,1,1,0,1,2,0
Brolan v. United States,236 U.S. 216,2/23/15,1915,1910,0,0,upheld,Narcotic Drugs Import and Export Act,35 Stat. 614,60-222,2/9/09,73,60,5,,1,1,1,1,0,0,1,0,0
Meeker v. Lehigh Valley Railroad Company,236 U.S. 412,2/23/15,1915,1910,0,0,upheld,Hepburn Act (Interstate Commerce),34 Stat. 584,59-337,6/29/06,104,59,1,,1,1,0,0,1,0,0,0,0
United States v. Hvoslef,237 U.S. 1,3/22/15,1915,1910,2,1,struck down on face,War Revenue Act,30 Stat. 448,,6/13/1898,202,55,4,,1,0,1,1,0,1,1,0,0
Thames & Mersey Marine Insurance Company v. United States,237 U.S. 19,4/5/15,1915,1910,1,1,struck down as applied,War Revenue Act,30 Stat. 448,,6/13/1898,202,55,4,,1,0,1,1,1,1,1,0,0
Mackenzie v. Hare,239 U.S. 299,12/6/15,1915,1910,0,0,upheld,Citizenship Acts,34 Stat. 1228,59-193,3/2/07,105,59,2,1,1,1,0,0,0,0,0,1,0
Weber v. Freed,239 U.S. 325,12/13/15,1915,1910,0,0,upheld,Prize-Fight Films Act,37 stat 240,62-246,7/31/12,40,62,5,,0,0,1,0,0,0,1,0,1
Williams v. Johnson,239 U.S. 414,12/20/15,1915,1910,0,0,upheld,Lieu Lands Act (Indian Reservations),33 Stat. 211,58-125,4/21/04,140,58,4,,0,0,0,0,0,0,0,0,0
Seven Cases of Eckman's Alterative v. United States,239 U.S. 510,1/10/16,1916,1910,0,0,upheld,Federal Food and Drugs Act of 1906 (Wiley Act),34 stat 768,59-384,6/30/06,114,59,5,4,1,1,1,0,0,0,1,0,0
Brushaber v. Union Pacific Railroad Company,240 U.S. 1,1/24/16,1916,1910,0,0,upheld,Underwood Tariff Act of 1913,38 Stat. 114,63-16,10/3/13,28,63,4,,1,1,1,0,0,0,0,0,1
Stanton v. Baltic Mining Company,240 U.S. 103,2/21/16,1916,1910,0,0,upheld,Underwood Tariff Act of 1913,38 Stat. 114,63-16,10/3/13,29,63,4,,1,0,1,0,0,0,0,0,1
Badders v. United States,240 U.S. 391,3/6/16,1916,1910,0,0,upheld,Judicial Code,36 Stat. 1087,61-475,3/3/11,60,61,4,,0,0,1,0,0,0,1,0,0
Willink v. United States,240 U.S. 572,4/3/16,1916,1910,0,0,upheld,Rivers and Harbors Appropriations Act of 1888,25 Stat. 400,,8/11/1888,332,50,4,,0,0,1,0,0,0,1,0,1
Texas & Pacific Railway Company v. Rigsby,241 U.S. 33,4/17/16,1916,1910,0,0,upheld,Safety Appliance Acts (Railroads),27 Stat. 531,,3/2/1893,278,52,5,,1,1,0,0,0,0,0,0,1
United States v. Nice,241 U.S. 591,6/12/16,1916,1910,0,0,upheld,Intoxicating Drinks to Indians Act,29 Stat. 506,,1/30/1897,232,54,5,4,0,0,1,0,1,0,1,0,0
Louisville Bridge Co. v. United States,242 U.S. 409,1/8/17,1917,1910,0,0,upheld,"Bridge Across the Ohio at Steubenville, Bridge Made a Post Road",13 Stat. 431,,2/17/1865,622,38,4,,0,0,1,0,0,0,1,0,0
Wilson v. New,243 U.S. 332,3/19/17,1917,1910,0,0,upheld,Eight-Hour Workday Law (Adamson Act),39 Stat. 721,54-252,9/3/16,7,64,5,4,1,1,1,0,1,0,1,4,1
First National Bank of Bay City v. Fellows,244 U.S. 416,6/11/17,1917,1910,0,0,upheld,Federal Reserve Act,38 Stat. 251,63-43,12/23/13,41,63,4,6,1,1,1,0,1,0,0,2,1
Santa Fe Pacific Railroad Company v. Lane,244 U.S. 492,6/11/17,1917,1910,0,0,upheld,Railway Land Grant Act,14 Stat. 292,,7/27/1866,610,39,4,,0,0,1,0,1,0,1,0,0
Arver v. United States (Selective Draft Law Cases),245 U.S. 366,1/7/18,1918,1910,0,0,upheld,Army Emergency Increase Act (Selective Draft Act),40 Stat. 300,65-50,5/18/17,7,65,2,6,1,1,1,0,0,0,1,0,1
Ruthenberg v. United States,245 U.S. 480,1/14/18,1918,1910,0,0,upheld,Army Emergency Increase Act (Selective Draft Act),40 Stat. 76,65-12,5/18/17,7,65,1,,1,0,1,0,0,0,1,0,1
Virginia v. West Virginia,246 U.S. 565,4/22/18,1918,1910,0,0,upheld,Judiciary Act of 1789,1 Stat. 73,1-20,9/24/1789,1553,1,5,6,1,0,0,0,0,0,0,0,1
Brader v. James,246 U.S. 88,3/4/18,1918,1910,0,0,upheld,Five Civilized Tribes Act (Curtis Act),34 Stat. 137,59-129,4/26/06,142,59,4,,0,0,1,0,0,0,0,0,0
William E. Peck & Company v. Lowe,247 U.S. 165,5/20/18,1918,1910,0,0,upheld,Underwood Tariff Act of 1913,38 Stat. 114,63-16,10/3/13,56,63,4,,1,0,1,0,0,0,1,0,1
Hammer v. Dagenheart,247 U.S. 251,6/3/18,1918,1910,2,1,struck down on face,Child Labor Law (Keating-Owen Act),39 Stat 675,64-249,9/1/16,21,64,5,,1,1,1,0,0,1,1,4,1
Cox v. Wood,247 U.S. 3,5/6/18,1918,1910,0,0,upheld,Army Emergency Increase Act (Selective Draft Act),40 Stat. 76,65-12,5/18/17,11,65,5,,1,0,1,0,0,0,1,0,1
Ruddy v. Rossi,248 U.S. 104,12/9/18,1918,1910,0,0,upheld,Homestead Act,12 Stat. 392,,5/20/1862,678,37,4,,1,0,0,0,1,0,0,1,0
Missouri Pacific Railway Company v. Kansas,248 U.S. 276,1/7/19,1919,1910,0,0,upheld,Webb-Kenyon Act (Intoxicating Liquors),37 Stat. 699,62-398,3/1/13,70,62,6,,1,1,0,0,0,0,0,0,1
United States v. Hill,248 U.S. 420,1/13/19,1919,1910,0,0,upheld,Reed Amendment (Post-Office Appropriation Act),39 Stat. 1069,64-380,3/3/17,22,64,5,,0,0,1,0,1,0,1,2,1
Frohwerk v. United States,249 U.S. 204,3/10/19,1919,1910,0,0,upheld,Espionage Act,40 stat 451,65-107,6/15/17,20,65,2,1,1,1,1,0,0,0,1,0,1
McKinley v. United States,249 U.S. 397,4/14/19,1919,1910,0,0,upheld,Army Emergency Increase Act,40 Stat. 76,65-12,5/18/17,22,65,6,5,1,0,1,0,0,0,1,0,1
Schenck v. United States,249 U.S. 47,3/3/19,1919,1910,0,0,upheld,Espionage Act,40 stat 451,65-107,6/15/17,20,65,2,,1,1,1,0,0,0,1,0,1
United States v. Doremus,249 U.S. 86,3/3/19,1919,1910,0,0,upheld,Harrison Narcotic Drug Act,38 Stat. 785,63-223,12/17/14,50,63,5,4,0,0,1,0,1,0,1,4,1
"Dakota Central Telephone Company v. South Dakota, ex rel. Payne",250 U.S. 163,6/2/19,1919,1910,0,0,upheld,Federal Control of Telegraphs and Telephone Act,40 stat 904,Pub-res 38,7/16/18,10,65,6,,0,0,1,0,1,0,0,1,1
United States v. Ferger,250 U.S. 199,6/2/19,1919,1910,0,0,upheld,Bill of Lading Act,39 Stat. 538,64-239,8/29/16,33,64,5,,0,0,1,0,1,0,1,1,1
Capital Trust Company v. Calhoun,250 U.S. 208,6/2/19,1919,1910,0,0,upheld,Omnibus Claims Act,38 Stat. 996,63-289,3/4/15,51,63,4,,0,0,0,0,1,0,0,0,1
Stilson v. United States,250 U.S. 583,11/10/19,1919,1910,0,0,upheld,Espionage Act,40 stat 451,65-107,6/15/17,28,65,1,,1,0,1,0,0,0,1,2,1
Hamilton v. Kentucky Distilleries & Warehouse Company,251 U.S. 146,12/15/19,1919,1910,0,0,upheld,War-time Prohibition Act,40 Stat. 1045,65-243,11/21/18,13,65,4,,0,0,1,0,1,0,1,0,1
Ruppert v. Caffey,251 U.S. 264,1/5/20,1920,1920,0,0,upheld,National Prohibition Acts (Volstead Act),41 Stat. 305,66-66,10/28/19,2,66,1,5,1,1,1,0,0,0,1,4,0
Eisner v. Macomber,252 U.S. 189,3/8/20,1920,1920,1,1,struck down as applied,Revenue Act of 1916,39 Stat. 756,64-271,9/8/16,42,64,4,,1,0,1,0,0,1,1,4,1
Missouri v. Holland,252 U.S. 416,4/19/20,1920,1920,0,0,upheld,Migratory Bird Treaty Act,40 Stat. 755,65-186,7/3/18,22,65,5,,1,1,1,0,0,0,1,2,1
Knickerbocker Ice Co. v. Stewart,253 U.S. 149,5/17/20,1920,1920,2,1,struck down on face,"Judicial Code, State Workmen's Compensation Laws (Johnson Act)",40 Stat. 395,65-82,10/6/17,32,65,6,5,0,0,0,0,1,1,0,4,1
Calhoun v. Massie,253 U.S. 170,5/17/20,1920,1920,0,0,upheld,Omnibus Claims Act (Crawford Amendment),38 Stat. 996,63-289,3/4/15,63,63,1,,0,0,0,1,0,0,0,4,1
Evans v. Gore,253 U.S. 245,6/1/20,1920,1920,1,1,struck down as applied,Revenue Act of 1918,40 Stat. 1057,65-254,2/24/19,15,65,1,,0,0,1,0,1,1,1,2,1
National Prohibition Cases,253 U.S. 350,6/7/20,1920,1920,0,0,upheld,"Eighteenth Amendment (Prohibition), National Prohibition Acts (Volstead Act)",41 Stat. 305,66-66,10/28/19,7,66,5,4,1,1,1,0,1,0,1,2,0
United States v. Wheeler,254 U.S. 281,12/13/20,1920,1920,1,1,struck down as applied,Penal Law Codification of 1909,35 Stat. 1088,60-350,3/4/09,141,60,5,2,1,0,1,0,0,0,1,1,0
"J.W. Goldsmith, Jr.-Grant Co. v. United States",254 U.S. 505,1/17/21,1921,1920,0,0,upheld,Internal Revenue Act of 1866,14 Stat. 98,,7/13/1866,655,39,4,1,0,0,1,0,0,0,1,1,0
Central Union Trust Co. v. Garvan,254 U.S. 554,1/24/21,1921,1920,0,0,upheld,40 Stat. 425,40 Stat. 425,65-91,10/6/17,39,65,1,4,1,0,1,0,0,0,1,0,1
Kahn v. Anderson,255 U.S. 1,1/31/21,1921,1920,0,0,upheld,Army Emergency Increase Act,40 Stat. 76,65-12,5/18/17,40,65,1,,1,0,1,0,0,0,1,0,1
"Weeds, Inc. v. United States",255 U.S. 109,2/28/21,1921,1920,2,1,struck down on face,"Lever Act (Food Control), District of Columbia Rents and Food Act (Ball Act)",41 Stat. 298,66-63,10/22/19,16,66,1,,0,0,1,0,1,1,1,0,0
Smith v. Kansas City Title & Trust Co.,255 U.S. 180,2/28/21,1921,1920,0,0,upheld,Federal Farm Loan Act; Farm Loan Bonds Act,39 Stat. 360,64-158,1/18/18,37,65,4,,0,0,1,0,0,0,0,2,1
Baender v. Barnett,255 U.S. 224,2/28/21,1921,1920,0,0,upheld,Criminal Code (Conspiracy Act),35 Stat. 1096,60-350,3/4/09,24,60,1,,1,0,1,0,0,0,0,0,0
Stoehr v. Wallace,255 U.S. 239,2/28/21,1921,1920,0,0,upheld,Trading With the Enemy Act,40 Stat. 411,65-91,10/6/17,41,65,4,1,1,1,1,0,0,0,1,0,1
Winton v. Amos,255 U.S. 373,3/7/21,1921,1920,0,0,upheld,Five Civilized Tribes Act (Curtis Act),34 Stat. 140,59-129,4/26/06,179,59,1,,0,0,1,0,1,0,0,0,0
Hollis v. Kutz,255 U.S. 452,3/21/21,1921,1920,0,0,upheld,District of Columbia Public Utility Act,37 Stat 974,62-435,3/4/13,97,62,1,,0,0,0,0,0,0,1,0,1
Merchants' Loan & Trust Co. v. Smietanka,255 U.S. 509,3/28/21,1921,1920,0,0,upheld,War Revenue Act of 1916,40 Stat. 300,65-50,10/3/17,42,65,4,,1,0,1,0,0,0,1,0,1
United States v. L. Cohen Grocery Co.,255 U.S. 81,2/28/21,1921,1920,2,1,struck down on face,"Lever Act (Food Control), District of Columbia Rents and Food Act (Ball Act)",41 Stat. 298,66-63,10/22/19,16,66,1,,0,0,1,0,0,1,1,0,0
Block v. Hirsh,256 U.S. 135,4/18/21,1921,1920,0,0,upheld,District of Columbia Rents and Food Act (Ball Act),41 stat 297,66-63,10/22/19,18,66,1,,0,0,1,0,1,0,0,4,0
Newberry v. United States,256 U.S. 232,5/2/21,1921,1920,1,1,struck down as applied,Federal Corrupt Practices Acts,37 Stat. 25,62-32,8/19/11,116,62,5,,0,0,1,0,1,1,1,1,1
New York Trust Co. v. Eisner,256 U.S. 345,5/16/21,1921,1920,0,0,upheld,Revenue Act of 1916 (Estate Tax Acts),39 Stat. 756,64-271,9/8/16,57,64,5,4,1,1,1,0,0,0,0,0,1
Dillon v. Gloss,256 U.S. 368,5/16/21,1921,1920,0,0,upheld,Eighteenth Amendment (Prohibition),40 Stat. 1050,,12/19/17,41,65,6,,1,1,1,0,0,0,1,0,1
La Belle Iron Works v. United States,256 U.S. 377,5/16/21,1921,1920,0,0,upheld,War Revenue Act of 1916,40 Stat. 300,65-50,10/3/17,44,65,4,1,1,0,1,0,0,0,1,0,1
United States v. Yuginovich,256 U.S. 450,6/1/21,1921,1920,1,1,struck down as applied,Tariff Act of 1872,17 Stat. 230,,6/6/1872,588,42,4,,1,0,1,0,0,0,1,0,0
District of Columbia v. R.P. Andrews Paper Co.,256 U.S. 582,6/1/21,1921,1920,0,0,upheld,District of Columbia Appropriations Act,39 Stat. 676,64-250,9/1/16,57,64,1,,0,0,0,1,1,0,1,0,1
"Rafferty v. Smith, Bell & Co.",257 U.S. 226,12/5/21,1921,1920,0,0,upheld,Third Deficiency Appropriation Act,41 Stat. 1015,66-264,6/5/20,18,66,5,,0,0,0,1,1,0,1,0,0
New York v. United States,257 U.S. 591,2/27/22,1922,1920,0,0,upheld,Transportation Act of 1920 (Esch-Cummings Act),41 Stat. 456,66-152,2/28/20,24,66,4,1,1,1,1,0,0,0,1,0,0
Alaska v. Troy,258 U.S. 101,2/27/22,1922,1920,0,0,upheld,Merchant Marine Act,41 Stat. 988,66-261,6/5/20,21,66,5,,1,0,1,0,0,0,1,0,0
Leser v. Garnett,258 U.S. 130,2/27/22,1922,1920,0,0,upheld,Nineteenth Amendment (Women's Suffrage),41 Stat. 1823,,8/26/20,18,66,5,6,1,1,1,1,0,0,0,0,0
Leach v. Carlile,258 U.S. 138,2/27/22,1922,1920,0,0,upheld,17 Stat. 283,17 Stat. 283,,6/8/1872,596,42,1,,0,0,1,0,0,0,1,2,0
United States v. Balint,258 U.S. 250,3/27/22,1922,1920,0,0,upheld,Harrison Narcotic Drug Act,38 Stat. 785,63-223,12/17/14,87,63,1,,0,0,1,0,1,0,1,0,1
Greiner v. Lewellyn,258 U.S. 384,4/10/22,1922,1920,0,0,upheld,Revenue Act of 1916 (Estate Tax Acts),39 Stat. 756,64-271,9/8/16,67,64,5,,1,0,1,0,0,0,1,0,1
United States v. Moreland,258 U.S. 433,4/17/22,1922,1920,2,1,struck down on face,"District of Columbia, Abandonment of Wife or Child",34 Stat. 86,59-66,3/23/06,193,59,1,,0,0,1,1,0,1,1,3,0
United Shoe Machinery Corp. v. United States,258 U.S. 451,4/17/22,1922,1920,0,0,upheld,Clayton Anti-Trust Act,38 Stat. 730,63-212,10/15/14,91,63,4,1,1,1,1,0,0,0,1,1,1
Stafford v. Wallace,258 U.S. 495,5/1/22,1922,1920,0,0,upheld,Packers and Stockyards Act,42 Stat. 159,67-51,8/15/21,9,67,4,1,1,1,1,0,0,0,1,1,0
Heald v. District of Columbia,259 U.S. 114,5/15/22,1922,1920,0,0,upheld,"Appropriations, District of Columbia",39 Stat. 1004,64-378,3/3/17,62,64,4,5,0,0,0,0,0,0,1,0,1
Child Labor Tax Case,259 U.S. 20,5/15/22,1922,1920,2,1,struck down on face,Revenue Act of 1918 (Child Labor Tax Acts),40 Stat. 1057,65-254,2/24/19,38,65,4,5,0,0,1,0,0,1,1,1,1
Ng Fung Ho v. White,259 U.S. 276,5/29/22,1922,1920,1,1,struck down as applied,Immigration Act of 1917,39 Stat. 874,64-301,2/5/17,63,64,1,,1,1,1,1,1,0,1,0,1
United Mine Workers v. Coronado Coal Co.,259 U.S. 344,6/5/22,1922,1920,1,1,struck down as applied,Sherman Anti-Trust Act,26 Stat. 209,,7/2/1890,383,51,4,,1,1,0,0,1,0,0,0,0
Hill v. Wallace,259 U.S. 44,5/15/22,1922,1920,2,1,struck down on face,Future Trading Act,42 Stat. 187,67-66,8/24/21,8,67,4,5,1,1,1,0,1,1,1,0,0
Lipke v. Lederer,259 U.S. 557,6/5/22,1922,1920,1,1,struck down as applied,National Prohibition Acts (Volstead Act),41 Stat. 305,66-66,10/28/19,31,66,4,1,1,0,1,0,1,0,1,2,0
Walker v. Gish,260 U.S. 447,1/2/23,1923,1920,0,0,upheld,District of Columbia (Building Regulations),20 Stat. 131,,6/14/1878,535,45,1,,0,0,0,0,0,0,0,0,1
New England Div. Case,261 U.S. 184,2/19/23,1923,1920,0,0,upheld,Transportation Act of 1920 (Esch-Cummings Act),41 Stat. 456,66-152,2/28/20,36,66,4,1,1,1,1,0,0,0,1,0,0
Keller v. Potomac Electric Power Co.,261 U.S. 428,4/9/23,1923,1920,2,1,struck down on face,District of Columbia Public Utility Act,37 Stat 974,62-435,3/4/13,121,62,6,,0,0,0,0,0,1,1,0,1
Omnia Commercial Co. v. United States,261 U.S. 502,4/9/23,1923,1920,0,0,upheld,Emergency Shipping Fund Act,40 Stat. 182,65-23,6/15/17,70,65,4,,0,0,1,0,0,0,1,0,1
Adkins v. Children's Hosp.,261 U.S. 525,4/9/23,1923,1920,2,1,struck down on face,District of Columbia Minimum Wage Act,40 Stat 960,65-215,9/19/18,54,65,2,,0,0,0,0,0,1,1,3,1
Pennsylvania R. Co. v. United States R. Labor Board,261 U.S. 72,2/19/23,1923,1920,0,0,upheld,Transportation Act of 1920 (Esch-Cummings Act),41 Stat. 456,66-152,2/28/20,36,66,4,,1,0,1,0,0,0,1,0,0
Board of Trade v. Olsen,262 U.S. 1,4/16/23,1923,1920,0,0,upheld,Grain Futures Act (Capper-Tincher Act),42 Stat. 998,67-331,9/21/22,7,67,4,1,1,1,1,0,0,0,1,2,0
A.G. Spalding & Bros. v. Edwards,262 U.S. 66,4/23/23,1923,1920,1,1,struck down as applied,War Revenue Act of 1916,40 Stat. 300,65-50,10/3/17,69,65,4,,1,0,1,0,1,0,1,0,1
Brown v. United States,263 U.S. 78,11/12/23,1923,1920,0,0,upheld,Sundry Civil Act,41 Stat. 1367,66-389,3/4/21,32,66,4,1,0,0,1,0,0,0,1,0,0
Dayton-Goose C.R. Co. v. United States,263 U.S. 456,1/7/24,1924,1920,0,0,upheld,Transportation Act of 1920 (Esch-Cummings Act),41 Stat. 456,66-152,2/28/20,46,66,4,1,1,1,0,0,0,0,1,0,0
Washington v. W.C. Dawson & Co.,264 U.S. 219,2/25/24,1924,1920,1,1,struck down as applied,Workmen's Compensation Jurisdiction Act,42 Stat. 634,67-239,6/10/22,21,67,5,6,0,0,0,0,0,1,0,1,0
FTC v. American Tobacco Co.,264 U.S. 298,3/17/24,1924,1920,1,1,struck down as applied,Federal Trade Commission Act,38 Stat. 717,63-203,9/26/14,114,63,1,,1,1,1,0,0,0,1,0,1
Mahler v. Eby,264 U.S. 32,2/18/24,1924,1920,0,0,upheld,Deportation Act,41 Stat. 593,66-197,5/10/20,46,66,1,6,0,0,1,0,1,0,1,0,0
Panama R. Co. v. Johnson,264 U.S. 375,4/7/24,1924,1920,0,0,upheld,"Seamen's Act (LaFollette Act), Merchant Marine Act of 1920",38 Stat. 1164,63-302,6/5/20,46,66,1,,1,0,0,0,0,0,0,0,0
Chastleton Corp. v. Sinclair,264 U.S. 543,4/21/24,1924,1920,1,1,struck down as applied,District of Columbia Rents Act,42 stat 543,67-222,5/22/22,23,67,4,1,0,0,0,0,1,0,1,0,0
Cook v. Tait,265 U.S. 47,5/5/24,1924,1920,0,0,upheld,Revenue Act of 1921,42 Stat. 227,67-98,11/23/21,29,67,4,5,0,0,1,0,0,0,1,0,0
James Everard's Breweries v. Day,265 U.S. 545,6/9/24,1924,1920,0,0,upheld,National Prohibition Act Supplemental (Willis-Campbell Act),41 Stat. 305,66-66,11/23/21,30,67,4,5,0,0,1,0,0,0,1,0,0
National Paper & Type Co. v. Bowers,266 U.S. 373,12/14/24,1924,1920,0,0,upheld,Revenue Act of 1921,42 Stat. 227,67-98,11/23/21,36,67,4,,0,0,1,0,0,0,1,0,0
Michaelson v. United States,266 U.S. 42,10/20/24,1924,1920,0,0,upheld,Clayton Anti-Trust Act,38 Stat. 730,63-212,10/15/14,121,63,4,1,1,1,0,1,1,0,1,0,1
Barclay & Co. v. Edwards,267 U.S. 442,12/15/24,1924,1920,0,0,upheld,Revenue Act of 1918,40 Stat. 1057,65-254,2/24/19,69,65,4,,0,0,1,0,0,0,1,0,1
Carroll v. United States,267 U.S. 132,3/2/25,1925,1920,0,0,upheld,National Prohibition Acts (Volstead Act),41 Stat. 305,66-66,10/28/19,63,66,1,,1,0,1,0,0,0,1,0,0
Brooks v. United States,267 U.S. 432,3/9/25,1925,1920,0,0,upheld,National Motor Vehicle Theft Act (Dyer Act),41 Stat. 324,66-70,10/29/19,63,66,5,1,0,0,1,0,0,0,1,0,0
Yee Hem v. United States,268 U.S. 178,4/27/25,1925,1920,0,0,upheld,Harrison Narcotic Drug Act,38 Stat. 785,63-223,1/17/14,135,63,1,,0,0,1,0,0,0,1,0,1
Selzman v. United States,268 U.S. 466,6/1/25,1925,1920,0,0,upheld,National Prohibition Acts (Volstead Act),41 Stat. 305,66-66,10/28/19,67,66,4,,1,1,1,0,0,0,1,0,0
Linder v. United States,268 U.S. 5,4/13/25,1925,1920,1,1,struck down as applied,Harrison Narcotic Drug Act,38 Stat. 785,63-223,12/17/14,123,63,4,5,0,0,1,1,1,0,1,0,1
Miles v. Graham,268 U.S. 501,6/1/25,1925,1920,1,1,struck down as applied,Revenue Act of 1918,40 Stat. 1057,65-254,2/24/19,75,65,6,4,0,0,1,0,0,1,1,1,1
Burk-Waggoner Oil Assn. v. Hopkins,269 U.S. 110,11/16/25,1925,1920,0,0,upheld,Revenue Act of 1918,40 Stat. 1057,65-254,2/24/19,81,65,4,,0,0,1,0,0,0,1,0,1
United States v. New York & Cuba Mail S.S. Co.,269 U.S. 304,12/14/25,1925,1920,0,0,upheld,"Alien Seamen, Hospital Treatment",41 Stat. 1082,66-289,12/26/20,59,66,1,,0,0,1,1,1,0,1,0,0
Druggan v. Anderson,269 U.S. 36,10/19/25,1925,1920,0,0,upheld,National Prohibition Acts (Volstead Act),41 Stat. 305,66-66,10/28/19,72,66,4,,1,0,1,0,0,0,1,0,0
Old Dominion Land Co. v. United States,269 U.S. 55,11/16/25,1925,1920,0,0,upheld,"Army, Real Estate Purchases",42 Stat. 418,67-169,3/8/22,45,67,4,1,0,0,1,0,0,0,1,0,0
Trusler v. Crooks,269 U.S. 475,1/11/26,1926,1920,2,1,struck down on face,Future Trading Act,42 Stat. 187,67-66,8/24/21,52,67,4,,1,1,1,0,1,1,1,0,0
Metcalf & Eddy v. Mitchell,269 U.S. 514,1/11/26,1926,1920,0,0,upheld,War Revenue Act of 1917,40 Stat. 300,65-50,10/3/17,106,65,4,5,1,0,1,0,0,0,0,0,1
White v. United States,270 U.S. 175,3/1/26,1926,1920,0,0,upheld,War Risk Insurance Act Amendments (Sweet Act),41 Stat. 371,66-104,12/24/19,74,66,4,,0,0,1,0,0,0,1,0,0
Missouri P.R. Co. v. Boone,270 U.S. 466,3/22/26,1926,1920,0,0,upheld,Transportation Act of 1920 (Esch-Cummings Act),41 Stat. 456,66-152,2/28/20,73,66,5,,1,1,0,1,0,0,0,0,0
"United States v. Holt State Bank, et al.",270 U.S. 49,2/1/26,1926,1920,1,1,struck down as applied,Nelson Act,25 Stat. 642,,1/14/1889,445,51,5,,0,0,1,0,1,0,1,0,0
Tutun v. United States,270 U.S. 568,4/12/26,1926,1920,0,0,upheld,Naturalization of Aliens Act,34 Stat. 596,59-338,6/29/06,237,59,1,,1,0,1,0,0,0,1,0,0
Colorado v. United States,271 U.S. 153,5/3/26,1926,1920,0,0,upheld,Transportation Act of 1920 (Esch-Cummings Act),41 Stat. 456,66-152,2/28/20,74,66,5,,1,1,1,0,0,0,1,0,0
Thornton v. United States,271 U.S. 414,6/1/26,1926,1920,0,0,upheld,Animal Industry Act,23 Stat. 31,,5/29/1884,504,48,5,1,1,1,1,1,0,0,1,0,1
"United States v. Chemical Foundation, Inc.",272 U.S. 1,10/11/26,1926,1920,0,0,upheld,Trading With the Enemy Act,40 Stat. 411,65-91,10/6/17,108,65,4,6,1,1,1,0,0,0,1,0,1
Myers v. United States,272 U.S. 52,10/25/26,1926,1920,2,1,struck down on face,Postal Service Appropriations Act,19 Stat. 78,,7/12/1876,604,44,6,,0,0,1,0,0,1,1,3,1
Lambert v. Yellowley,272 U.S. 581,11/29/26,1926,1920,0,0,upheld,National Prohibition Acts (Volstead Act),41 Stat. 305,66-66,10/28/19,85,66,4,,1,0,1,0,0,0,1,4,0
Albrecht v. United States,273 U.S. 1,1/3/27,1927,1920,0,0,upheld,National Prohibition Acts (Volstead Act),41 Stat. 305,66-66,10/28/19,86,66,1,,1,0,1,0,0,0,1,0,0
Florida v. Mellon,273 U.S. 12,1/3/27,1927,1920,0,0,upheld,Revenue Act of 1926,44 Stat. 9,69-20,2/26/26,10,69,4,5,1,1,1,0,0,0,1,0,0
Liggett & Myers Tobacco Co. v. United States,274 U.S. 215,5/2/27,1927,1920,0,0,upheld,"Naval Service Appropriations Act, Urgent Deficiencies Appropriations Act",40 stat 182,65-23,6/15/17,118,65,4,,0,0,1,1,1,0,1,0,1
Westfall v. United States,274 U.S. 256,5/16/27,1927,1920,0,0,upheld,"Federal Reserve Act, Federal Reserve Act Amendments",40 stat 234,65-25,6/21/1917,119,65,4,,0,0,1,0,0,0,1,0,1
United States v. Sullivan,274 U.S. 259,5/16/27,1927,1920,0,0,upheld,Revenue Act of 1921,42 Stat. 227,67-98,11/23/21,66,67,4,,0,0,1,1,1,0,1,0,0
United States v. Alford,274 U.S. 264,5/16/27,1927,1920,0,0,upheld,"Indians, Miscellaneous Provisions",36 stat 861,61-313,6/25/10,191,61,5,,0,0,1,0,1,0,1,0,0
Alston v. United States,274 U.S. 289,5/16/27,1927,1920,0,0,upheld,Harrison Narcotic Drug Act,38 Stat. 785,63-223,12/17/14,149,63,4,,0,0,1,0,0,0,1,0,1
Phelps v. United States,274 U.S. 341,5/16/27,1927,1920,0,0,upheld,Federal Possession and Control Act (Railroads in War),39 Stat. 645,64-242,8/29/16,129,64,1,4,0,0,1,1,1,0,1,0,1
Nichols v. Coolidge,274 U.S. 531,5/31/27,1927,1920,1,1,struck down as applied,Revenue Act of 1918,40 Stat. 1057,65-254,2/24/19,99,65,1,4,0,0,1,0,0,1,1,0,1
Blodgett v. Holden,275 U.S. 142,11/21/27,1927,1920,1,1,struck down as applied,Revenue Act of 1924 (Gift Tax Acts),43 Stat. 253,68-176,6/2/24,42,68,1,4,1,0,1,0,0,0,1,0,0
Richmond Screw Anchor Co. v. United States,275 U.S. 331,3/3/28,1928,1920,1,1,struck down as applied,Frauds Act of 1853,10 Stat. 170,,2/26/1853,901,32,4,,0,0,1,1,1,0,1,0,1
Nigro v. United States,276 U.S. 332,4/9/28,1928,1920,0,0,upheld,"Anti-Narcotic Act (Harrison Act), Revenue Act of 1918",40 Stat. 1057,65-254,2/24/19,109,65,4,,0,0,1,0,0,0,1,3,1
J.W. Hampton Jr. & Co. v. United States,276 U.S. 394,4/9/28,1928,1920,0,0,upheld,Tariff Act of 1922 (Fordney-McCumber Act),42 Stat. 858,67-318,9/21/22,66,67,6,,1,1,1,1,0,0,1,0,0
